latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-26.008,151.044,319.138,3.3,1.7,18-04-2021,45,T,73,6.1NRT,294.6,66.7,D
-26.003,151.04,331.427,3.3,1.7,18-04-2021,45,T,63,6.1NRT,293.7,37.3,D
-26.019,151.038,332.885,3.3,1.7,18-04-2021,45,T,66,6.1NRT,293.8,44.4,D
-31.168,147.044,311.758,2,1.4,18-04-2021,45,T,57,6.1NRT,296.1,12.3,D
-31.541,145.792,302.027,1.7,1.3,18-04-2021,45,T,66,6.1NRT,296.4,16.5,D
-31.542,145.81,303.628,1.7,1.3,18-04-2021,45,T,68,6.1NRT,295.9,18.4,D
-31.989,147.876,320.646,2.4,1.5,18-04-2021,45,T,84,6.1NRT,300.9,73.2,D
-32.232,145.561,336.366,1.7,1.3,18-04-2021,45,T,72,6.1NRT,296.8,23.4,D
-32.233,145.578,332.005,1.7,1.3,18-04-2021,45,T,62,6.1NRT,296.2,13.3,D
-32.431,147.773,313.284,2.3,1.5,18-04-2021,45,T,47,6.1NRT,296.2,15.9,D
-33.183,145.904,307.7,1.8,1.3,18-04-2021,45,T,62,6.1NRT,295.4,17.5,D
-33.185,145.923,342.495,1.8,1.3,18-04-2021,45,T,68,6.1NRT,294.9,23.8,D
-33.61,145.507,301.077,1.7,1.3,18-04-2021,45,T,56,6.1NRT,295.9,9.2,D
-34.294,147.415,327.972,2.3,1.5,18-04-2021,45,T,53,6.1NRT,297.4,17.7,D
-34.079,140.088,313.703,1,1,18-04-2021,45,T,72,6.1NRT,298.4,7.3,D
-35.003,147.109,301.979,2.3,1.5,18-04-2021,45,T,64,6.1NRT,293.7,22.4,D
-36.535,144.715,314.573,1.7,1.3,18-04-2021,45,T,63,6.1NRT,282.9,20.6,D
-16.759,135.248,330.233,2.9,1.6,18-04-2021,40,T,64,6.1NRT,296.6,32.6,D
-16.764,135.268,320.653,2.9,1.6,18-04-2021,40,T,66,6.1NRT,296,34.5,D
