,predictions
0,319.3779999999999
1,331.6900000000003
2,333.21899999999994
3,311.7890000000002
4,302.0979999999999
5,303.7220000000001
6,320.606
7,335.7969999999999
8,331.9170000000002
9,313.42999999999995
10,308.0290000000001
11,342.5050000000002
12,301.18600000000026
13,327.796
14,312.9539999999999
15,301.7849999999999
16,314.23699999999985
17,330.365
18,320.6430000000001
19,345.2740000000003
20,323.15899999999976
21,316.70499999999987
22,319.48700000000025
23,330.22399999999993
24,326.6949999999999
25,308.9020000000001
26,310.3809999999999
27,311.69900000000007
28,357.38899999999995
29,313.09
30,312.25399999999996
31,302.66600000000005
32,339.24199999999985
33,318.57300000000004
34,304.634
35,336.3300000000001
36,318.6139999999999
37,330.15899999999993
38,362.78700000000003
39,316.2460000000001
40,374.2410000000003
41,310.3570000000001
42,305.25999999999993
43,328.3379999999998
44,324.085
45,319.5080000000001
46,320.5900000000001
47,351.4029999999999
48,340.3919999999999
49,301.932
50,327.87800000000016
51,319.81700000000006
52,328.906
53,303.69899999999996
54,342.9040000000002
55,317.08900000000006
56,325.8250000000001
57,347.26800000000037
58,309.5739999999998
59,322.26200000000006
60,315.6080000000003
61,321.685
62,310.3939999999998
63,325.2789999999999
64,319.61300000000006
65,335.728
66,326.1970000000001
67,317.11199999999997
68,312.5620000000002
69,347.657
70,304.13700000000006
71,327.105
72,314.75500000000005
73,302.521
74,321.085
75,316.5760000000002
76,322.64
77,328.5629999999999
78,357.56899999999996
79,320.88599999999997
80,321.24399999999986
81,348.7749999999999
82,318.04
83,303.57800000000026
84,318.89099999999996
85,320.8269999999999
86,322.32199999999995
87,310.9130000000003
88,317.3430000000002
89,312.6680000000001
90,337.5769999999999
91,325.5310000000001
92,326.2420000000001
93,318.93500000000006
94,324.6579999999999
95,316.7519999999999
96,311.5380000000001
97,320.3659999999998
98,330.68400000000025
99,310.517
100,333.94999999999976
101,342.7340000000001
102,317.3169999999999
103,306.2929999999999
104,337.74900000000014
105,305.6619999999997
106,311.827
107,332.88299999999987
108,310.756
109,326.93700000000007
110,323.4800000000001
111,324.84899999999993
112,318.10699999999997
113,317.9570000000001
114,333.36700000000013
115,330.22199999999975
116,330.3030000000001
117,323.478
118,302.61000000000007
119,306.37699999999995
120,328.5999999999999
121,343.7059999999999
122,303.582
123,342.4079999999998
124,369.57900000000024
125,300.72599999999983
126,344.759
127,326.85299999999995
128,313.20400000000006
129,321.8510000000001
130,333.4519999999999
131,323.89799999999974
132,312.7550000000001
133,325.68899999999996
134,328.3400000000001
135,305.2280000000001
136,323.611
137,325.9539999999998
138,337.62300000000005
139,382.04699999999997
140,329.14200000000005
141,325.2099999999999
142,338.2699999999999
143,326.5629999999998
144,343.0800000000001
145,325.856
146,308.0089999999998
147,311.6150000000001
148,332.8599999999998
149,315.3530000000002
150,320.3789999999999
151,301.15100000000024
152,354.1570000000002
153,301.872
154,306.168
155,336.04999999999995
156,316.51399999999995
157,344.03599999999983
158,315.30100000000016
159,333.8519999999999
160,320.4920000000001
161,320.50199999999995
162,314.90800000000013
163,341.9110000000001
164,306.66799999999984
165,323.07000000000016
166,301.409
167,327.13299999999975
168,316.5949999999999
169,316.9129999999997
170,340.54899999999986
171,324.66400000000027
172,329.18800000000005
173,326.0020000000002
174,326.22399999999993
175,317.47900000000004
176,342.17699999999996
177,310.917
178,324.8739999999998
179,310.88500000000005
180,319.91400000000004
181,374.17500000000035
182,333.32099999999974
183,316.8799999999999
184,307.2279999999999
185,326.04100000000005
186,338.9780000000002
187,340.7789999999997
188,334.5929999999999
189,349.2799999999999
190,408.8339999999997
191,335.00500000000005
192,331.48699999999997
193,313.31300000000016
194,327.19199999999995
195,311.1169999999998
196,348.3420000000001
197,326.2179999999997
198,334.26599999999996
199,324.50500000000005
200,311.914
201,361.67600000000016
202,307.394
203,335.0639999999998
204,347.94800000000004
205,312.3760000000003
206,321.7129999999999
207,303.185
208,324.5420000000002
209,301.2709999999999
210,329.1159999999998
211,314.09100000000007
212,312.08000000000015
213,431.4370000000004
214,320.17599999999993
215,363.74499999999983
216,338.68700000000007
217,316.56399999999985
218,321.0540000000001
219,309.8510000000001
220,324.13199999999995
221,308.0510000000002
222,315.1800000000001
223,301.24700000000024
224,311.82399999999996
225,323.04400000000004
226,325.8819999999999
227,303.80899999999997
228,331.5390000000002
229,335.0899999999999
230,301.62899999999996
231,338.30799999999994
232,307.2079999999998
233,313.2099999999999
234,307.3729999999999
235,326.2250000000001
236,317.9539999999999
237,306.0769999999999
238,332.2319999999999
239,313.5340000000001
240,313.10200000000003
241,316.24600000000004
242,326.2399999999997
243,353.69799999999987
244,401.37200000000047
245,328.682
246,326.7959999999999
247,349.1709999999998
248,384.2319999999998
249,313.0889999999998
250,325.1259999999998
251,307.3339999999999
252,320.57899999999995
253,309.455
254,330.6040000000001
255,327.93599999999986
256,327.99199999999985
257,357.68400000000037
258,320.75199999999995
259,316.995
260,313.807
261,312.92200000000014
262,314.698
263,318.6119999999999
264,332.94800000000004
265,302.75700000000006
266,320.4199999999999
267,352.499
268,341.56800000000004
269,325.04900000000015
270,312.49899999999997
271,309.3050000000001
272,329.36499999999984
273,309.18100000000015
274,310.3970000000001
275,309.98499999999996
276,316.28599999999983
277,306.60100000000006
278,324.7660000000002
279,314.04999999999995
280,309.638
281,338.41900000000015
282,316.33199999999965
283,333.966
284,300.66200000000003
285,351.73000000000025
286,318.1890000000001
287,340.1779999999998
288,307.966
289,333.42999999999995
290,324.06899999999973
291,350.718
292,310.34099999999984
293,313.10099999999983
294,304.9769999999999
295,413.91099999999983
296,310.2809999999999
297,330.80199999999996
298,324.31799999999987
299,305.63100000000014
300,313.65700000000015
301,341.90899999999993
302,310.1349999999999
303,315.2009999999999
304,312.0879999999999
305,312.6110000000002
306,337.0649999999998
307,312.59299999999973
308,326.7839999999998
309,313.53100000000023
310,334.8330000000001
311,328.26400000000007
312,378.72600000000057
313,315.6620000000001
314,316.7199999999999
315,311.8309999999999
316,302.6409999999999
317,379.7869999999998
318,308.90700000000004
319,317.967
320,306.8520000000001
321,331.81400000000025
322,309.91799999999984
323,310.99699999999984
324,321.32599999999996
325,317.71200000000016
326,319.09199999999987
327,324.745
328,315.4600000000002
329,310.54699999999985
330,328.74399999999986
331,313.49300000000005
332,311.98700000000014
333,306.47600000000006
334,335.8469999999998
335,325.3529999999999
336,325.655
337,303.62600000000003
338,330.83900000000017
339,309.517
340,322.12100000000015
341,318.2140000000003
342,321.42600000000004
343,303.2679999999998
344,350.4279999999997
345,319.0780000000001
346,313.08699999999993
347,343.6300000000003
348,334.343
349,331.7150000000001
350,317.1590000000001
351,304.41799999999984
352,306.54699999999997
353,330.0200000000002
354,326.5519999999999
355,318.7810000000001
356,301.6260000000001
357,327.146
358,319.69599999999997
359,302.5750000000001
360,351.9850000000001
361,307.49799999999976
362,326.8980000000001
363,322.2800000000001
364,309.01300000000003
365,332.927
366,310.161
367,303.08399999999995
368,303.50399999999996
369,328.30500000000006
370,323.5020000000001
371,324.582
372,342.798
373,342.2020000000003
374,357.1559999999999
375,376.8260000000002
376,337.71099999999984
377,319.7890000000002
378,373.8360000000002
379,338.77899999999977
380,316.094
381,323.4740000000001
